,AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
8819,0.6444113018365771,4.261465028638916,0.43375895996916775,0.9010289477294644,0.7819253438113949,0.5392953929539296,1.0
8820,0.6850892196065599,4.521751555872144,0.43379518570085157,0.9010115076194996,0.7621052631578947,0.575516693163752,2.0
8821,0.581290528731832,5.699237140022106,0.6630940056172653,0.7485361312017277,0.618510158013544,0.4257964257964258,4.0
8822,0.7679232685767502,3.4355684206411703,0.7252115581937076,0.6885261039802736,0.9262295081967213,0.6519230769230769,0.0
8823,0.6010035018467622,4.590685197552721,0.4836435311401907,0.8752650654437474,0.647766323024055,0.3894628099173554,1.0
8824,0.5677777103349408,5.458375733075257,0.5602759921840169,0.8283059897056253,0.6473029045643154,0.4622222222222222,3.0
8825,0.5875777227136737,4.481707644053303,0.4302286364503528,0.9027199567850874,0.635673624288425,0.3713968957871397,1.0
8826,0.6645767353301919,4.180067777947188,0.4886385197637662,0.8724863305537087,0.808300395256917,0.5519568151147098,1.0
8827,0.7520412646716981,3.949612778569081,0.7641507614936406,0.6450376839446584,0.9198966408268734,0.6846153846153846,0.0
8828,0.7648279210720227,3.3754110047724684,0.8287891754420722,0.559560991018897,0.9236641221374046,0.7492260061919505,0.0
8829,0.652801979058157,4.78868746605124,0.4202116341459989,0.9074261306179965,0.7481031866464339,0.6904761904761905,2.0
8830,0.6205059088168412,5.01219497035973,0.7890776355736111,0.6142934844498674,0.6245353159851301,0.3783783783783784,5.0
8831,0.7759635002520029,3.2660650802793216,0.8274093298280473,0.5615993241747195,0.9556313993174061,0.775623268698061,0.0
8832,0.6692597217952745,4.093985526367024,0.4683254659257668,0.8835560298959051,0.7893617021276595,0.5423976608187134,1.0
8833,0.6873714052377136,4.081356254713932,0.5122275752954716,0.8588497604976798,0.840080971659919,0.6067251461988304,1.0
8834,0.606524864406363,5.603553399902506,0.6187348574259935,0.7855998830231807,0.6683608640406608,0.453448275862069,4.0
8835,0.5588052399503592,5.260948838496937,0.6000100630036377,0.7999924526483801,0.631979695431472,0.4446428571428571,3.0
8836,0.6244921916943151,5.172954948342546,0.6881189048050094,0.725597941597104,0.6564102564102564,0.45714285714285713,5.0
8837,0.6335017157291677,5.471073541901566,0.5588151705963347,0.829292231430748,0.6653543307086615,0.52,4.0
8838,0.6411348571433927,5.101255975792519,0.5062342587066423,0.8623960084043387,0.7274247491638796,0.5878378378378378,3.0
8839,0.5658401408758309,4.910338105086642,0.46110879460404397,0.8873436084960581,0.6552197802197802,0.5678571428571428,2.0
8840,0.5573256452327261,5.65511252935497,0.7316285928038953,0.6817034561976286,0.6109215017064846,0.40497737556561086,4.0
8841,0.6520221008289291,4.986774022291275,0.4539359447168205,0.8910343192571472,0.7577639751552795,0.6612466124661247,2.0
8842,0.5701230990443619,5.766738859199805,0.6858759999110321,0.7277184295770185,0.636978579481398,0.42803030303030304,4.0
8843,0.642165666488876,5.216712302931853,0.5640732465425315,0.8257247559174719,0.695024077046549,0.4501039501039501,4.0
8844,0.6567914338065507,4.127702859926551,0.41350878882215275,0.9105001271646458,0.8283185840707965,0.5598086124401914,1.0
8845,0.6403873799367222,4.908509464206948,0.4240995653539178,0.9056155689179698,0.7129629629629629,0.6260162601626016,2.0
8846,0.7392159405034457,4.149690067645938,0.8029665888626627,0.5960240407653535,0.8919597989949749,0.6454545454545455,0.0
8847,0.7498783302342985,3.541926023890425,0.7061617966664291,0.7080505045043333,0.9146005509641874,0.6989473684210527,0.0
8848,0.6153838881511415,4.827031289581883,0.4752498192309294,0.8798509017560696,0.6948051948051948,0.5286561264822134,2.0
8849,0.5931218642126941,5.259953238111824,0.5491062064532626,0.8357525794363467,0.6827515400410678,0.5095785440613027,3.0
8850,0.6012741625819973,4.898416152664377,0.46286638932752044,0.8864280600426095,0.6870838881491345,0.5584415584415584,2.0
8851,0.6740107319399196,5.080083511116415,0.4646200952998243,0.8855101168499331,0.753731343283582,0.6558441558441559,3.0
8852,0.5847452614618373,5.610806672552972,0.6521294716662615,0.7581076125355045,0.6394904458598726,0.44035087719298244,4.0
8853,0.5723997488374558,5.796675626202247,0.6935958916461293,0.7203643099790624,0.5799595141700404,0.36777920410783055,5.0
8854,0.6356943540058152,4.097828527761192,0.4695377396182946,0.8829124028317547,0.8034351145038168,0.5704607046070461,1.0
8855,0.6345257594871831,5.050010277966204,0.6531360909486135,0.7572405474486721,0.6890881913303438,0.4704081632653061,4.0
8856,0.6142185580029955,5.2762054482544425,0.6089376332030456,0.7932181029635375,0.6735668789808917,0.4519230769230769,4.0
8857,0.5678442066453432,5.937505354664046,0.6729872168956798,0.739654112335629,0.6230492196878752,0.41586538461538464,4.0
8858,0.6876026769565395,4.084080111362255,0.47743122064956195,0.8786691240444661,0.8354166666666667,0.6207430340557275,1.0
